Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
KP Pietersen,325.0,83.0,29.54,131.04,0.0,2.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR Mayers,153.0,23.0,10.2,104.79,0.0,0.0,2.0,7.0,8.0,0.0,8.0,8.34,0.0,0.0,4.0,0.0
KS Melius,20.0,12.0,6.66,90.9,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamran Akmal,29.0,17.0,5.8,87.87,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS Sebastien,63.0,33.0,31.5,94.02,0.0,0.0,1.0,7.0,0.0,0.0,1.0,8.57,0.0,0.0,1.0,0.0
LJA Julien,7.0,7.0,7.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LM Edward,6.0,6.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0
LMP Simmons,156.0,45.0,22.28,116.41,0.0,0.0,1.0,8.0,12.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0
LRPL Taylor,118.0,30.0,23.6,95.93,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS Boucher,19.0,18.0,9.5,70.37,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LS Lugg,13.0,13.0,13.0,61.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
M Clarke,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,4.0,0.0
M Deyal,391.0,78.0,17.77,127.36,0.0,1.0,4.0,36.0,18.0,0.0,7.0,8.11,0.0,0.0,12.0,0.0
M Matthew,35.0,21.0,8.75,152.17,0.0,0.0,0.0,3.0,2.0,0.0,5.0,9.08,0.0,0.0,2.0,0.0
M Morkel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.95,0.0,0.0,0.0,0.0
MEK Hussey,165.0,64.0,23.57,105.76,0.0,1.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
MJ McClenaghan,24.0,9.0,4.8,96.0,0.0,0.0,1.0,1.0,1.0,0.0,12.0,9.29,0.0,0.0,1.0,0.0
MN Samuels,130.0,54.0,16.25,113.04,0.0,1.0,0.0,6.0,8.0,0.0,1.0,7.9,0.0,0.0,3.0,0.0
MS Chapman,12.0,6.0,3.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0
MW Forde,51.0,15.0,10.2,110.86,0.0,0.0,0.0,4.0,2.0,2.0,15.0,6.7,0.0,0.0,3.0,0.0
Misbah-ul-Haq,104.0,49.0,17.33,101.96,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Nabi,156.0,35.0,19.5,124.8,0.0,0.0,0.0,9.0,9.0,1.0,12.0,5.1,1.0,0.0,8.0,0.0
Mohammad Sami,6.0,6.0,6.0,66.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,0.0,0.0,0.0,0.0
N Dickwella,101.0,36.0,12.62,118.82,0.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
NL McCullum,32.0,10.0,8.0,133.33,0.0,0.0,0.0,4.0,0.0,0.0,6.0,7.6,0.0,0.0,1.0,0.0
NLTC Perera,29.0,11.0,14.5,93.54,0.0,0.0,0.0,2.0,1.0,0.0,1.0,9.5,0.0,0.0,3.0,0.0
NR Kumar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.75,0.0,0.0,0.0,0.0
NT Pascal,4.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0
Najibullah Zadran,273.0,35.0,21.0,113.75,0.0,0.0,1.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC McCoy,28.0,14.0,9.33,121.73,0.0,0.0,1.0,2.0,2.0,0.0,26.0,8.51,0.0,0.0,2.0,0.0
OF Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,1.0,0.0
P Hatzoglou,10.0,9.0,0.0,142.85,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.36,0.0,0.0,7.0,0.0
PAS McSween,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
PBB Rajapaksa,137.0,86.0,34.25,138.38,0.0,1.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qais Ahmad,61.0,24.0,12.2,115.09,0.0,0.0,0.0,3.0,5.0,0.0,7.0,7.6,0.0,0.0,1.0,0.0
RA Clarke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE van der Merwe,28.0,21.0,7.0,84.84,0.0,0.0,1.0,2.0,1.0,0.0,1.0,8.55,0.0,0.0,0.0,0.0
RL Chase,927.0,85.0,29.9,125.78,0.0,7.0,3.0,73.0,38.0,2.0,36.0,6.6,0.0,0.0,14.0,0.0
RO Cato,11.0,10.0,5.5,73.33,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ROO Jordan,15.0,9.0,7.5,150.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,9.66,0.0,0.0,0.0,0.0
RRS Cornwall,819.0,78.0,22.13,157.5,0.0,4.0,2.0,76.0,60.0,0.0,10.0,7.68,0.0,0.0,4.0,0.0
RS Primus,192.0,38.0,19.2,126.31,0.0,0.0,1.0,9.0,11.0,0.0,7.0,9.61,0.0,0.0,3.0,0.0
S Descarte,59.0,43.0,14.75,109.25,0.0,0.0,0.0,2.0,3.0,0.0,1.0,14.0,0.0,0.0,3.0,0.0
S Shillingford,45.0,16.0,5.0,102.27,0.0,0.0,5.0,2.0,3.0,1.0,25.0,7.13,0.0,0.0,5.0,0.0
SC Kuggeleijn,43.0,13.0,14.33,107.5,0.0,0.0,1.0,2.0,0.0,1.0,23.0,8.37,0.0,0.0,10.0,0.0
SC Williams,125.0,47.0,25.0,140.44,0.0,0.0,1.0,11.0,5.0,0.0,0.0,23.0,0.0,0.0,3.0,0.0
SR Patel,39.0,14.0,7.8,76.47,0.0,0.0,1.0,2.0,2.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0
SR Watson,446.0,80.0,27.87,145.75,0.0,3.0,3.0,27.0,28.0,0.0,13.0,8.32,0.0,0.0,7.0,0.0
ST Gabriel,3.0,2.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.54,0.0,0.0,2.0,0.0
SW Ambris,46.0,17.0,23.0,75.4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saad Bin Zafar,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.33,0.0,0.0,0.0,0.0
Sikandar Raza,141.0,32.0,17.62,134.28,0.0,0.0,0.0,8.0,8.0,0.0,7.0,7.3,0.0,0.0,1.0,0.0
Sohail Tanvir,189.0,50.0,37.8,181.73,0.0,1.0,0.0,9.0,16.0,0.0,7.0,6.47,0.0,0.0,1.0,0.0
TA Willett,25.0,15.0,12.5,89.28,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
TH David,367.0,56.0,30.58,143.92,0.0,1.0,1.0,25.0,24.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0
TK Patel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0
TL Best,19.0,11.0,6.33,70.37,0.0,0.0,1.0,2.0,0.0,0.0,12.0,8.49,0.0,0.0,1.0,0.0
Tamim Iqbal,162.0,75.0,23.14,105.19,0.0,1.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usman Qadir,6.0,6.0,6.0,42.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.66,0.0,0.0,1.0,0.0
Wahab Riaz,30.0,26.0,30.0,90.9,0.0,0.0,0.0,3.0,0.0,0.0,11.0,8.45,0.0,0.0,4.0,0.0
Zahir Khan,2.0,2.0,1.0,33.33,0.0,0.0,1.0,0.0,0.0,0.0,8.0,6.92,0.0,0.0,1.0,0.0
