Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
N Dutta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.18,0.0,0.0,0.0,0.0
NF Kelly,21.0,16.0,7.0,75.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NLTC Perera,41.0,20.0,8.2,105.12,0.0,0.0,1.0,2.0,2.0,0.0,5.0,8.05,0.0,0.0,1.0,0.0
Naseem Shah,11.0,5.0,5.5,73.33,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.68,0.0,0.0,1.0,0.0
O Peters,47.0,27.0,9.4,92.15,0.0,0.0,2.0,2.0,3.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0
O Thomas,4.0,3.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,8.89,0.0,0.0,1.0,0.0
PA van Meekeren,6.0,3.0,6.0,46.15,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.93,0.0,0.0,0.0,0.0
RA Reifer,36.0,20.0,18.0,180.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,7.47,0.0,0.0,1.0,0.0
RR Emrit,132.0,21.0,16.5,118.91,0.0,0.0,0.0,6.0,9.0,2.0,23.0,7.4,0.0,0.0,5.0,0.0
RS Bopara,36.0,18.0,9.0,66.66,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0
Rashid Khan,31.0,26.0,7.75,106.89,0.0,0.0,2.0,4.0,1.0,2.0,4.0,4.8,0.0,0.0,3.0,0.0
S Badree,19.0,7.0,19.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.81,0.0,0.0,4.0,0.0
S Lamichhane,2.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.23,0.0,0.0,1.0,0.0
SE Rutherford,607.0,78.0,30.35,134.58,0.0,6.0,1.0,28.0,45.0,0.0,1.0,9.62,0.0,0.0,16.0,0.0
SO Dowrich,65.0,38.0,21.66,138.29,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
SS Cottrell,115.0,26.0,8.21,122.34,0.0,0.0,4.0,8.0,8.0,5.0,69.0,8.17,0.0,0.0,28.0,0.0
SSJ Brooks,294.0,53.0,22.61,131.25,0.0,1.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Shahid Afridi,96.0,21.0,13.71,147.69,0.0,0.0,0.0,2.0,7.0,1.0,9.0,8.34,0.0,0.0,1.0,0.0
Sohail Tanvir,80.0,26.0,13.33,90.9,0.0,0.0,1.0,4.0,2.0,0.0,12.0,6.66,0.0,0.0,1.0,0.0
T Shamsi,10.0,5.0,3.33,50.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,7.06,0.0,0.0,5.0,0.0
TA Willett,56.0,31.0,14.0,90.32,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
TLW Cooper,45.0,15.0,9.0,84.9,0.0,0.0,1.0,3.0,1.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0
Usama Mir,26.0,24.0,8.66,144.44,0.0,0.0,1.0,2.0,2.0,1.0,3.0,8.07,0.0,0.0,2.0,0.0
WCF Smeed,80.0,63.0,20.0,135.59,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Cariah,78.0,65.0,39.0,139.28,0.0,1.0,0.0,8.0,0.0,0.0,1.0,11.71,0.0,0.0,0.0,0.0
