Player,Runs,HS,Ave,SR,100,50,0,4s,6s,Mdns,Wkts,Econ,5,10,Ct,St
NO Miller,7.0,6.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,8.88,0.0,0.0,0.0,0.0
Nasir Jamshed,5.0,4.0,1.66,55.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Tambe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,3.0,0.0
R Frylinck,23.0,15.0,7.66,79.31,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0
R Rampaul,28.0,11.0,7.0,116.66,0.0,0.0,0.0,1.0,2.0,0.0,31.0,8.53,0.0,0.0,3.0,0.0
RR Beaton,29.0,13.0,29.0,107.4,0.0,0.0,0.0,3.0,1.0,1.0,15.0,8.36,0.0,0.0,6.0,0.0
RR Sarwan,9.0,9.0,9.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badree,48.0,29.0,24.0,109.09,0.0,0.0,1.0,2.0,2.0,4.0,28.0,5.83,0.0,0.0,9.0,0.0
S Prasanna,55.0,51.0,13.75,141.02,0.0,1.0,1.0,4.0,4.0,0.0,2.0,7.65,0.0,0.0,1.0,0.0
SA Lewis,1.0,1.0,1.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.28,0.0,0.0,0.0,0.0
SJ Benn,21.0,8.0,3.5,53.84,0.0,0.0,2.0,2.0,0.0,1.0,25.0,7.12,0.0,0.0,10.0,0.0
SP Narine,819.0,79.0,14.36,134.48,0.0,3.0,12.0,74.0,49.0,9.0,80.0,5.51,0.0,0.0,23.0,0.0
SR Patel,40.0,34.0,40.0,121.21,0.0,0.0,0.0,4.0,1.0,0.0,2.0,9.75,0.0,0.0,1.0,0.0
ST Gabriel,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,8.41,0.0,0.0,1.0,0.0
Shadab Khan,46.0,30.0,9.2,79.31,0.0,0.0,1.0,2.0,2.0,1.0,12.0,5.75,0.0,0.0,1.0,0.0
Sikandar Raza,6.0,3.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.47,0.0,0.0,4.0,0.0
T Hinds,5.0,4.0,2.5,100.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.71,0.0,0.0,0.0,0.0
T Webster,363.0,66.0,21.35,107.07,0.0,2.0,2.0,40.0,14.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0
TK Curran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
TL Seifert,531.0,59.0,23.08,103.1,0.0,1.0,1.0,40.0,18.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0
Umar Akmal,179.0,73.0,25.57,142.06,0.0,1.0,1.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
WKD Perkins,174.0,64.0,17.4,113.72,0.0,1.0,1.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Waqar Salamkheil,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.68,0.0,0.0,0.0,0.0
Y Cariah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.4,0.0,0.0,1.0,0.0
Yasir Shah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,3.0,0.0
