PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Andre Fletcher,56,37,7,1,151.35,,,,,,,
Will Smeed,63,36,5,4,175.00,,,,,,,
Jyd Goolie,22,16,3,0,137.50,,,,,,,
Sherfane Rutherford,65,27,5,5,240.74,,,,,,,
Corbin Bosch,5,3,1,0,166.66,,,,,,,
Benny Howell,1,1,0,0,100.00,,,,,,,
George Linde,34,,1,3,,3.0,0.0,0.0,11.33,5.0,0.0,0.0
Johann Layne,17,,4,0,,1.0,0.0,0.0,17.0,2.0,1.0,0.0
Oshane Thomas,34,,2,2,,4.0,0.0,0.0,8.5,11.0,2.0,1.0
Corbin Bosch,29,,5,1,,3.0,0.0,1.0,9.66,10.0,1.0,0.0
Yannic Cariah,35,,1,5,,2.0,0.0,0.0,17.5,5.0,0.0,0.0
Benny Howell,40,,1,4,,3.0,0.0,0.0,13.33,4.0,0.0,1.0
Dominic Drakes,34,,3,2,,2.1,0.0,1.0,15.69,4.0,6.0,0.0
Kyle Mayers,22,13,5,0,169.23,,,,,,,
Rahkeem Cornwall,102,48,4,12,212.50,,,,,,,
Laurie Evans,24,14,2,2,171.42,,,,,,,
Rovman Powell,49,26,5,3,188.46,,,,,,,
Alick Athanaze,13,10,1,0,130.00,,,,,,,
"Did not bat: Jason Holder, Carlos Brathwaite, Nyeem Young, Rivaldo Clarke, Roelof van der Merwe, Qais Ahmad","Did not bat: Jason Holder, Carlos Brathwaite, Nyeem Young, Rivaldo Clarke †, Roelof van der Merwe, Qais Ahmad","Did not bat: Jason Holder, Carlos Brathwaite, Nyeem Young, Rivaldo Clarke †, Roelof van der Merwe, Qais Ahmad","Did not bat: Jason Holder, Carlos Brathwaite, Nyeem Young, Rivaldo Clarke †, Roelof van der Merwe, Qais Ahmad","Did not bat: Jason Holder, Carlos Brathwaite, Nyeem Young, Rivaldo Clarke †, Roelof van der Merwe, Qais Ahmad","Did not bat: Jason Holder, Carlos Brathwaite, Nyeem Young, Rivaldo Clarke †, Roelof van der Merwe, Qais Ahmad",,,,,,,
Kyle Mayers,23,,4,0,,2.0,0.0,0.0,11.5,6.0,1.0,0.0
Roelof van der Merwe,20,,3,1,,2.0,0.0,0.0,10.0,7.0,1.0,0.0
Jason Holder,47,,7,1,,4.0,0.0,0.0,11.75,5.0,0.0,0.0
Carlos Brathwaite,66,,3,6,,4.0,0.0,1.0,16.5,3.0,1.0,0.0
Qais Ahmad,23,,1,0,,4.0,0.0,0.0,5.75,6.0,0.0,0.0
Nyeem Young,13,,0,1,,1.0,0.0,0.0,13.0,0.0,0.0,0.0
Rahkeem Cornwall,27,,3,1,,3.0,0.0,2.0,9.0,7.0,0.0,0.0
