PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Saim Ayub,7,7,0,1,100.00,,,,,,,
Hazratullah Zazai,0,2,0,0,0.00,,,,,,,
Shai Hope,25,17,1,2,147.05,,,,,,,
Azam Khan,7,5,0,1,140.00,,,,,,,
Shimron Hetmyer,60,45,3,4,133.33,,,,,,,
Keemo Paul,56,29,1,7,193.10,,,,,,,
Romario Shepherd,19,9,2,1,211.11,,,,,,,
Dwaine Pretorius,8,5,1,0,160.00,,,,,,,
Gudakesh Motie,1,1,0,0,100.00,,,,,,,
"Did not bat: Imran Tahir, Junior Sinclair","Did not bat: Imran Tahir (c), Junior Sinclair","Did not bat: Imran Tahir (c), Junior Sinclair","Did not bat: Imran Tahir (c), Junior Sinclair","Did not bat: Imran Tahir (c), Junior Sinclair","Did not bat: Imran Tahir (c), Junior Sinclair",,,,,,,
Dwaine Pretorius,35,,4,1,,3.4,0.0,2.0,9.54,10.0,5.0,0.0
Romario Shepherd,7,,1,0,,3.0,1.0,3.0,2.33,14.0,0.0,0.0
Junior Sinclair,17,,2,0,,3.0,0.0,2.0,5.66,7.0,0.0,0.0
Keemo Paul,4,,1,0,,0.1,0.0,0.0,24.0,0.0,0.0,0.0
Saim Ayub,9,,0,1,,0.5,0.0,0.0,10.8,1.0,0.0,0.0
Imran Tahir,52,,2,5,,4.0,0.0,1.0,13.0,7.0,2.0,0.0
Gudakesh Motie,52,,0,6,,4.0,0.0,1.0,13.0,6.0,3.0,0.0
Brandon King,1,6,0,0,16.66,,,,,,,
Kirk McKenzie,5,10,1,0,50.00,,,,,,,
Shamarh Brooks,0,1,0,0,0.00,,,,,,,
Amir Jangoo,1,5,0,0,20.00,,,,,,,
Raymon Reifer,19,14,3,0,135.71,,,,,,,
Imad Wasim,63,36,3,5,175.00,,,,,,,
Fabian Allen,47,25,0,6,188.00,,,,,,,
Chris Green,15,8,3,0,187.50,,,,,,,
Hayden Walsh,15,6,0,2,250.00,,,,,,,
Mohammad Amir,0,1,0,0,0.00,,,,,,,
Salman Irshad,0,0,0,0,-,,,,,,,
Chris Green,28,,1,2,,4.0,0.0,2.0,7.0,15.0,1.0,0.0
Mohammad Amir,33,,1,2,,4.0,0.0,3.0,8.25,12.0,4.0,0.0
Imad Wasim,27,,1,2,,3.0,0.0,0.0,9.0,8.0,1.0,0.0
Salman Irshad,48,,2,4,,4.0,0.0,1.0,12.0,9.0,1.0,0.0
Fabian Allen,20,,0,2,,2.0,0.0,0.0,10.0,3.0,0.0,0.0
Hayden Walsh,19,,1,2,,1.0,0.0,0.0,19.0,2.0,2.0,0.0
Raymon Reifer,29,,2,2,,2.0,0.0,1.0,14.5,3.0,4.0,0.0
