PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Martin Guptill,1,3,0,0,33.33,,,,,,,
Mark Deyal,37,20,8,0,185.00,,,,,,,
Chadwick Walton,25,27,2,0,92.59,,,,,,,
Keacy Carty,83,49,7,4,169.38,,,,,,,
Kieron Pollard,9,9,1,0,100.00,,,,,,,
Kadeem Alleyne,2,2,0,0,100.00,,,,,,,
Akeal Hosein,2,3,0,0,66.66,,,,,,,
Samit Patel,1,3,0,0,33.33,,,,,,,
Terrance Hinds,1,3,0,0,33.33,,,,,,,
Jaden Carmichael,4,1,1,0,400.00,,,,,,,
Akeal Hosein,32,,3,1,,4.0,0.0,1.0,8.0,8.0,0.0,0.0
Jayden Seales,37,,2,3,,3.0,0.0,1.0,12.33,8.0,2.0,0.0
Terrance Hinds,26,,4,0,,4.0,0.0,1.0,6.5,13.0,2.0,0.0
Mark Deyal,21,,1,2,,2.0,0.0,1.0,10.5,4.0,0.0,0.0
Samit Patel,48,,2,3,,4.0,0.0,0.0,12.0,6.0,4.0,1.0
Chadwick Walton,7,,0,0,,1.0,0.0,0.0,7.0,1.0,1.0,0.0
Kadeem Alleyne,4,,0,0,,0.2,0.0,0.0,12.0,0.0,0.0,1.0
Saim Ayub,37,24,5,2,154.16,,,,,,,
Odean Smith,44,32,4,3,137.50,,,,,,,
Shai Hope,54,37,2,3,145.94,,,,,,,
Shimron Hetmyer,2,4,0,0,50.00,,,,,,,
Azam Khan,12,5,1,1,240.00,,,,,,,
Dwaine Pretorius,11,10,0,0,110.00,,,,,,,
"Did not bat: Keemo Paul, Romario Shepherd, Gudakesh Motie, Imran Tahir, Junior Sinclair","Did not bat: Keemo Paul, Romario Shepherd, Gudakesh Motie, Imran Tahir (c), Junior Sinclair","Did not bat: Keemo Paul, Romario Shepherd, Gudakesh Motie, Imran Tahir (c), Junior Sinclair","Did not bat: Keemo Paul, Romario Shepherd, Gudakesh Motie, Imran Tahir (c), Junior Sinclair","Did not bat: Keemo Paul, Romario Shepherd, Gudakesh Motie, Imran Tahir (c), Junior Sinclair","Did not bat: Keemo Paul, Romario Shepherd, Gudakesh Motie, Imran Tahir (c), Junior Sinclair",,,,,,,
Dwaine Pretorius,26,,4,0,,4.0,0.0,1.0,6.5,11.0,0.0,0.0
Romario Shepherd,45,,8,0,,4.0,0.0,1.0,11.25,7.0,2.0,0.0
Keemo Paul,11,,2,0,,1.0,0.0,1.0,11.0,2.0,0.0,0.0
Imran Tahir,12,,0,0,,4.0,0.0,3.0,3.0,14.0,0.0,0.0
Gudakesh Motie,27,,2,0,,4.0,0.0,0.0,6.75,8.0,0.0,0.0
Odean Smith,50,,3,4,,3.0,0.0,0.0,16.66,3.0,3.0,0.0
