PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Faf du Plessis,57,36,8,1,158.33,,,,,,,
Johnson Charles,37,31,1,3,119.35,,,,,,,
Bhanuka Rajapaksa,15,21,1,0,71.42,,,,,,,
Sikandar Raza,32,23,2,2,139.13,,,,,,,
Roshon Primus,3,6,0,0,50.00,,,,,,,
Roston Chase,1,2,0,0,50.00,,,,,,,
Sean Williams,4,1,1,0,400.00,,,,,,,
Khary Pierre,20,,2,1,,3.5,0.0,4.0,5.21,15.0,0.0,0.0
McKenny Clarke,11,,2,0,,1.0,0.0,0.0,11.0,3.0,2.0,0.0
Alzarri Joseph,17,,2,1,,2.0,0.0,1.0,8.5,6.0,0.0,0.0
Roston Chase,13,,1,1,,2.0,0.0,2.0,6.5,8.0,0.0,0.0
Peter Hatzoglou,15,,1,0,,3.0,0.0,1.0,5.0,7.0,0.0,0.0
Sikandar Raza,31,,2,3,,3.0,0.0,2.0,10.33,8.0,0.0,0.0
Mark Deyal,33,19,4,2,173.68,,,,,,,
Martin Guptill,7,8,1,0,87.50,,,,,,,
Chadwick Walton,0,3,0,0,0.00,,,,,,,
Nicholas Pooran,0,5,0,0,0.00,,,,,,,
Kieron Pollard,34,15,3,3,226.66,,,,,,,
Dwayne Bravo,1,4,0,0,25.00,,,,,,,
Akeal Hosein,12,12,1,0,100.00,,,,,,,
Andre Russell,10,11,0,1,90.90,,,,,,,
Sunil Narine,1,3,0,0,33.33,,,,,,,
Jaden Carmichael,1,4,0,0,25.00,,,,,,,
Ali Khan,6,5,1,0,120.00,,,,,,,
Akeal Hosein,21,,3,0,,4.0,0.0,0.0,5.25,13.0,0.0,0.0
Jaden Carmichael,13,,1,1,,1.0,0.0,0.0,13.0,2.0,0.0,0.0
Ali Khan,40,,4,1,,4.0,0.0,1.0,10.0,9.0,5.0,0.0
Sunil Narine,24,,1,1,,4.0,0.0,0.0,6.0,10.0,0.0,0.0
Dwayne Bravo,31,,3,1,,4.0,0.0,2.0,7.75,9.0,1.0,0.0
Andre Russell,28,,1,2,,3.0,0.0,2.0,9.33,7.0,2.0,0.0
