PLAYERS,R,B,4s,6s,SR,O,M,W,ECON,0s,WD,NB
Martin Guptill,100,58,1,9,172.41,,,,,,,
Mark Deyal,27,19,2,2,142.10,,,,,,,
Nicholas Pooran,6,5,1,0,120.00,,,,,,,
Kieron Pollard,46,32,1,4,143.75,,,,,,,
Andre Russell,5,5,1,0,100.00,,,,,,,
Dwayne Bravo,0,1,0,0,0.00,,,,,,,
"Did not bat: Lorcan Tucker, Sunil Narine, Tom Curran, Akeal Hosein, Waqar Salamkheil","Did not bat: Lorcan Tucker †, Sunil Narine, Tom Curran, Akeal Hosein, Waqar Salamkheil","Did not bat: Lorcan Tucker †, Sunil Narine, Tom Curran, Akeal Hosein, Waqar Salamkheil","Did not bat: Lorcan Tucker †, Sunil Narine, Tom Curran, Akeal Hosein, Waqar Salamkheil","Did not bat: Lorcan Tucker †, Sunil Narine, Tom Curran, Akeal Hosein, Waqar Salamkheil","Did not bat: Lorcan Tucker †, Sunil Narine, Tom Curran, Akeal Hosein, Waqar Salamkheil",,,,,,,
Andre Russell,13,,2,0,,2.0,0.0,3.0,6.5,6.0,0.0,0.0
Tom Curran,3,,0,0,,1.0,0.0,0.0,3.0,4.0,0.0,0.0
Akeal Hosein,16,,0,1,,4.0,0.0,2.0,4.0,16.0,0.0,0.0
Sunil Narine,11,,0,1,,2.0,0.0,1.0,5.5,6.0,0.0,0.0
Waqar Salamkheil,14,,0,1,,3.1,0.0,4.0,4.42,11.0,0.0,0.0
Rahkeem Cornwall,0,1,0,0,0.00,,,,,,,
Kyle Mayers,0,1,0,0,0.00,,,,,,,
Laurie Evans,5,9,0,0,55.55,,,,,,,
Alick Athanaze,2,7,0,0,28.57,,,,,,,
Jason Holder,14,15,2,0,93.33,,,,,,,
Rovman Powell,10,7,0,1,142.85,,,,,,,
Kevin Wickham,9,9,0,1,100.00,,,,,,,
Nyeem Young,3,7,0,0,42.85,,,,,,,
Roelof van der Merwe,3,4,0,0,75.00,,,,,,,
Qais Ahmad,10,9,0,1,111.11,,,,,,,
Obed McCoy,1,4,0,0,25.00,,,,,,,
Kyle Mayers,12,,0,1,,2.0,0.0,0.0,6.0,6.0,1.0,0.0
Jason Holder,39,,2,3,,4.0,0.0,2.0,9.75,8.0,0.0,0.0
Rahkeem Cornwall,21,,0,2,,2.0,0.0,0.0,10.5,4.0,0.0,0.0
Obed McCoy,47,,2,4,,4.0,0.0,0.0,11.75,9.0,2.0,0.0
Qais Ahmad,39,,0,4,,4.0,0.0,1.0,9.75,10.0,1.0,0.0
Roelof van der Merwe,32,,2,1,,4.0,0.0,1.0,8.0,7.0,2.0,0.0
